#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,xorg-xprop,"is a tool for detecting window properties."
# fonts
A,nerd-fonts-source-code-pro,"provides unicode fonts for dwm statubar."
A,otf-nerd-fonts-fira-code,"my favorite fonts, and set it for st."
,noto-fonts,"noto english fonts"
,noto-fonts-cjk,"noto chiese fonts"
A,ttf-twemoji,"is an emoji font."
,ttf-nerd-fonts-symbols,"is an icon font."
,networkmanager,"Network connection manager and user applications"
,nm-connection-editor,"NetworkManager GUI connection editor and widgets"
,network-manager-applet,"Applet for managing network connections"
,xfce4-power-manager,"Power manager for the Xfce desktop"
,acpi,"Client for battery, power, and thermal readings"
,acpilight,"a backward-compatible xbacklight replacement based on ACPI"
A,acpitool,"ACPI client - replacement for apm tool"
,alsa-utils,"Advanced Linux Sound Architecture - Utilities"
,ntfs-3g,"allows accessing NTFS partitions."
,bc,"is used for a dropdown calculator."
,w3m,"Text-based Web browser as well as pager"
,wget,"Network utility to retrieve files from the Web"
,fzf,"is a fuzzy finder tool."
,neofetch,"A CLI system information tool written in BASH that supports displaying images."
,zip,"Compressor/archiver for creating and modifying zipfiles"
,ark,"Archiving Tool"
,unzip,"unzips zips."
,htop,"Interactive process viewer"
A,gotop-git,"A terminal based graphical activity monitor inspired by gtop and vtop"
,ripgrep,"A search tool that combines the usability of ag with the raw speed of grep"
,tree,"A directory listing program displaying a depth indented list of files"
,tmux,"A terminal multiplexer"
,tldr,"Command line client for tldr, a collection of simplified and community-driven man pages."
,duf,"Disk Usage/Free Utility"
,ranger,"Simple, vim-like file manager"
,pandoc,"Conversion between markup formats"
A,texlive-most-doc,"Most TeXLive documentation"
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,python-pdftotext,"Simple PDF text extraction"
,perl-image-exiftool,"Reader and rewriter of EXIF informations that supports raw files"
,mupdf,"Lightweight PDF and XPS viewer"
,dmenu,"Generic menu for X"
A,j4-dmenu-desktop,"A much faster replacement for i3-dmenu-desktop. Its purpose is to find .desktop files and offer you a menu to start an application using dmenu."
,feh,"Fast and light imlib2-based image viewer"
,picom,"X compositor that may fix tearing issues"
,flameshot,"Powerful yet simple to use screenshot software"
,screenkey,"A screencast tool to display your keys inspired by Screenflick"
,nautilus,"Default file manager for GNOME"
A,google-chrome,"The popular and trusted web browser by Google (Stable Channel)"
A,lazygit,"A simple terminal UI for git commands"
A,haruna,"Video player built with Qt/QML on top of libmpv."
# Install Graphics drive
mesa,"An open-source implementation of the OpenGL specification"
lib32-mesa,"An open-source implementation of the OpenGL specification (32-bit)"
vulkan-intel,"Intel's Vulkan mesa driver"
lib32-vulkan-intel,"Intel's Vulkan mesa driver (32-bit)"
nvidia,"NVIDIA drivers for linux"
nvidia-settings,"Tool for configuring the NVIDIA graphics driver"
lib32-nvidia-utils,"NVIDIA drivers utilities (32-bit)"
nvidia-lts,"NVIDIA drivers for linux-lts"
A,optimus-manager,"Management utility to handle GPU switching for Optimus laptops"
A,optimus-manager-qt,"A Qt interface for Optimus Manager that allows to configure and switch GPUs on Optimus laptops using the tray menu"
,python,"Next generation of the python high-level scripting language"
,python2,"A high-level scripting language"
,python2-pip,"The PyPA recommended tool for installing Python packages"
,nodejs,"Evented I/O for V8 javascript"
,yarn,"Fast, reliable, and secure dependency management"
,ruby,"An object-oriented language for quick and easy programming"
,the_silver_searcher,"Code searching tool similar to Ack, but faster"
,figlet,"A program for making large letters out of ordinary text"
,xclip,"Command line interface to the X11 clipboard"
,ctags,"Generates an index file of language objects found in source files"
,xdg-utils,"Command line tools that assist applications with a variety of desktop integration tasks"
P,pynvim,"Python client and plugin host for Nvim"
P,debugpy,"a debugger for Python"
P,ueberzug,"ueberzug is a command line util which allows to display images in combination with X11"
P,smdv,"a simple markdown viewer for linux."
N,instant-markdown-d,"Instantly-updating Markdown Server"
N,neovim,"Neovim client API and neovim remote plugin provider"
A,neovim-nightly-bin,"Fork of Vim aiming to improve user experience, plugins, and GUIs - Nightly Builds"
# fcitx5
,fcitx5,"Next generation of fcitx"
,fcitx5-chewing,"Chewing Wrapper for Fcitx5"
,fcitx5-chinese-addons,"Addons related to Chinese, including IME previous bundled inside fcitx4"
,fcitx5-configtool,"Configuration Tool for Fcitx5"
,fcitx5-gtk,"Fcitx5 gtk im module and glib based dbus client library"
,fcitx5-qt,"Fcitx5 Qt Library"
,fcitx5-rime,"RIME support for Fcitx5"
,fcitx5-material-color,"Material color theme for fcitx5"
A,fcitx5-pinyin-zhwiki,"Fcitx 5 Pinyin Dictionary from zh.wikipedia.org for rime"
A,fcitx5-pinyin-moegirl-rime,"Fcitx 5 Pinyin Dictionary from zh.wikipedia.org for rime"
A,landrop-git,"Drop any files to any devices on your LAN."
A,v2raya,"v2ray web"
# Luke
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features." <++>
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
A,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
